Metric,Methods,T=20,T=10,T=5,avg.,T=20,T=10,T=5,avg.,T=20,T=10,T=5,avg.,T=30,T=15,T=10,avg.
Ā,Finetune,84.40,87.52,90.51,87.48,46.06,50.45,57.23,51.25,71.14,74.94,78.15,74.74,67.70,72.05,73.30,71.02
,LwF (TPAMI 2018) [18],76.19,82.88,88.10,82.39,46.03,50.36,56.75,51.05,70.74,74.31,77.00,74.02,67.42,72.31,73.91,71.21
,L2P (CVPR 2022) [43],86.99,89.48,91.02,89.16,50.87,54.03,56.35,53.75,75.59,77.92,77.86,77.12,70.14,71.93,73.22,71.76
,DualPrompt (ECCV 2022) [42],86.88,88.86,89.78,88.51,54.59,58.60,59.59,57.59,73.61,75.06,75.12,74.60,72.81,73.66,75.13,73.87
,ACIL (NeurIPS 2022) [59],90.22,91.96,94.00,92.06,64.42,70.93,72.04,69.97,79.43,81.21,83.36,81.34,76.96,76.54,76.09,76.53
,CODA-Prompt (CVPR 2023) [34],86.06,91.19,92.20,89.82,57.19,61.86,65.97,61.67,71.63,76.69,80.17,76.16,68.64,70.78,72.19,70.54
,LAE (ICCV 2023) [6],80.96,86.97,88.50,85.47,50.30,58.56,59.09,55.98,72.85,75.42,75.48,74.58,71.00,73.82,73.65,72.82
,DS-AL (AAAI 2024) [62],86.11,83.50,88.82,86.14,63.38,63.47,61.82,63.22,75.90,78.37,80.39,78.22,79.73,80.20,76.91,78.95
,SimpleCIL (IJCV 2024) [52],82.79,82.31,81.12,82.07,60.05,59.33,58.09,59.16,67.60,67.09,65.89,66.86,79.46,79.23,78.51,79.07
,Aper (IJCV 2024) [52],88.48,90.91,91.56,90.32,61.36,65.74,68.90,65.33,76.28,79.01,80.48,78.59,79.72,79.79,79.82,79.78
,EASE (CVPR 2024) [53],90.62,92.01,92.81,91.81,60.62,62.93,67.93,63.83,78.15,81.33,82.25,80.58,73.09,75.32,81.11,76.51
,MoAL (Ours),93.27,94.22,94.03,93.84,67.26,74.29,75.22,72.26,82.94,84.45,85.39,84.26,84.04,85.68,84.45,84.72
,+improvement,+2.65,+2.21,+0.03,+1.78,+2.84,+3.36,+3.18,+2.29,+3.51,+3.12,+2.03,+2.92,+4.31,+5.48,+3.34,+4.94
AT,Finetune,78.58,82.06,86.31,82.32,33.77,40.62,47.14,40.51,63.72,68.63,73.97,68.77,56.41,60.82,62.42,59.88
,LwF (TPAMI 2018) [18],67.36,77.57,84.28,76.40,33.77,40.22,45.89,39.96,64.45,69.55,73.27,69.09,56.52,61.40,64.59,60.84
,L2P (CVPR 2022) [43],81.22,84.47,86.27,83.99,42.40,45.49,48.52,45.47,68.73,72.25,73.73,71.57,59.85,62.32,63.84,62.00
,DualPrompt (ECCV 2022) [42],79.90,84.23,84.76,82.96,43.38,47.93,49.18,46.83,67.12,69.10,70.37,68.86,62.84,62.91,65.60,63.78
,ACIL (NeurIPS 2022) [59],88.79,90.33,90.73,89.95,51.02,60.90,62.54,59.65,75.55,77.38,78.90,77.28,73.28,66.52,77.06,72.29
,CODA-Prompt (CVPR 2023) [34],79.55,87.24,88.67,85.15,46.15,51.02,56.35,51.17,67.93,73.10,76.40,72.48,64.61,67.64,68.84,67.03
,LAE (ICCV 2023) [6],74.26,81.13,82.76,79.38,39.43,47.73,50.03,45.73,65.57,69.83,71.05,68.82,62.44,63.88,64.76,63.70
,DS-AL (AAAI 2024) [62],85.90,86.05,85.91,85.95,51.74,52.67,51.02,51.81,74.05,77.48,76.55,76.03,73.40,73.52,72.95,73.29
,SimpleCIL (IJCV 2024) [52],76.21,76.21,76.21,76.21,49.24,49.24,49.24,49.24,61.35,61.35,61.35,61.35,72.18,72.18,72.18,72.18
,Aper (IJCV 2024) [52],82.75,85.81,87.58,85.38,50.49,55.69,59.91,55.36,69.25,72.05,74.95,72.08,72.51,72.95,73.25,72.90
,EASE (CVPR 2024) [53],84.21,87.25,89.22,86.89,49.70,51.74,57.93,53.13,71.10,76.00,78.05,75.05,64.44,67.74,74.37,67.75
,MoAL (Ours),88.36,90.49,90.85,89.90,52.01,64.06,67.22,61.10,76.85,79.33,81.38,79.19,74.02,77.23,78.61,76.62
,+improvement,-0.43,+0.16,+0.12,-0.05,+0.27,+3.16,+4.68,+1.45,+1.30,+1.85,+2.48,+1.91,+0.62,+3.71,+1.55,+3.33
